Time: 8.99 s, Pressure: 8.58 bar, Temperature: 94.75 °C, Pressure Output: 10.80 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: 0.25, Pressure Error: 0.42, PWM Duty Cycle: 0.00 %
Time: 9.06 s, Pressure: 8.59 bar, Temperature: 94.75 °C, Pressure Output: 10.72 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: 0.25, Pressure Error: 0.41, PWM Duty Cycle: 0.00 %
Time: 9.14 s, Pressure: 8.60 bar, Temperature: 94.75 °C, Pressure Output: 10.52 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: 0.25, Pressure Error: 0.40, PWM Duty Cycle: 0.00 %
Time: 9.24 s, Pressure: 8.60 bar, Temperature: 94.00 °C, Pressure Output: 10.47 %, Heater State: ON, Flow Rate: 0.00 mL/s, Temp Error: 1.00, Pressure Error: 0.40, PWM Duty Cycle: 6.69 %
Time: 9.32 s, Pressure: 8.61 bar, Temperature: 94.00 °C, Pressure Output: 10.30 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: 1.00, Pressure Error: 0.39, PWM Duty Cycle: 0.00 %
Time: 9.40 s, Pressure: 8.61 bar, Temperature: 94.00 °C, Pressure Output: 10.30 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: 1.00, Pressure Error: 0.39, PWM Duty Cycle: 0.00 %
Time: 9.47 s, Pressure: 8.62 bar, Temperature: 94.00 °C, Pressure Output: 10.21 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: 1.00, Pressure Error: 0.38, PWM Duty Cycle: 0.00 %
Time: 9.61 s, Pressure: 8.62 bar, Temperature: 93.75 °C, Pressure Output: 10.07 %, Heater State: ON, Flow Rate: 0.00 mL/s, Temp Error: 1.25, Pressure Error: 0.38, PWM Duty Cycle: 2.23 %
Time: 9.72 s, Pressure: 8.62 bar, Temperature: 93.75 °C, Pressure Output: 10.07 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: 1.25, Pressure Error: 0.38, PWM Duty Cycle: 0.00 %
Time: 9.81 s, Pressure: 8.63 bar, Temperature: 93.75 °C, Pressure Output: 9.94 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: 1.25, Pressure Error: 0.37, PWM Duty Cycle: 0.00 %
Time: 9.87 s, Pressure: 8.63 bar, Temperature: 93.75 °C, Pressure Output: 9.93 %, Heater State: OFF, Flow Rate: 0.00 mL/s, Temp Error: 1.25, Pressure Error: 0.37, PWM Duty Cycle: 0.00 %
